created_at,id,full_text,truncated,id_str,display_text_range,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,text
2022-11-28T19:49:03Z,1597316660608008200,RT @lifewithsommer: Big news! Two Finnish nature organisations @luonnonsuojelu and @GreenpeaceSuomi are taking the Finnish government to co…,FALSE,1597316660608008192,140,FALSE,186,0,FALSE,FALSE,en,RT @lifewithsommer: Big news! Two Finnish nature organisations @luonnonsuojelu and @GreenpeaceSuomi are taking the Finnish government to co…
2022-11-26T07:40:11Z,1596408461604028400,"RT @auroramalet: We are suing the Swedish state, because climate action is a legal duty.

#Aurora #ClimateTrials #UprootTheSystem https://t…",FALSE,1596408461604028417,140,FALSE,363,0,FALSE,FALSE,en,"RT @auroramalet: We are suing the Swedish state, because climate action is a legal duty.

#Aurora #ClimateTrials #UprootTheSystem https://t…"
2022-11-26T05:42:17Z,1596378789696897e3,RT @auroramalet: 2000 marscherar i Stockholm till stöd för de över 600 ungdomar som idag stämmer staten för att de inte behandlar klimatkri…,FALSE,1596378789696897024,140,FALSE,215,0,FALSE,FALSE,sv,RT @auroramalet: 2000 marscherar i Stockholm till stöd för de över 600 ungdomar som idag stämmer staten för att de inte behandlar klimatkri…
2022-11-25T13:23:56Z,1596132582114328600,"School strike week 223. Today we are 636 young people in @auroramalet who are suing the Swedish state for insufficient climate action. Therefore we now marched from the parliament to the court.

#FridaysForFuture #ClimateStrike #Aurora #ClimateTrials #UprootTheSystem @auroramalet https://t.co/gatAMGPzcp",FALSE,1596132582114328583,280,FALSE,1244,5074,FALSE,FALSE,en,"School strike week 223. Today we are 636 young people in @auroramalet who are suing the Swedish state for insufficient climate action. Therefore we now marched from the parliament to the court.

#FridaysForFuture #ClimateStrike #Aurora #ClimateTrials #UprootTheSystem @auroramalet https://t.co/gatAMGPzcp"
2022-11-25T10:17:20Z,1596085622741078e3,"Today on Black Friday is the perfect day to sue the state over its insufficient climate policies.

So that’s what we did.

See you in court!
 
#Aurora #ClimateTrials #UprootTheSystem",FALSE,1596085622741078017,182,FALSE,1899,12457,FALSE,FALSE,en,"Today on Black Friday is the perfect day to sue the state over its insufficient climate policies.

So that’s what we did.

See you in court!
 
#Aurora #ClimateTrials #UprootTheSystem"
2022-11-25T07:27:25Z,1596042859194482700,"RT @auroramalet: Vi är Aurora, nu stämmer vi staten. 

#Aurora #ClimateTrials #UprootTheSystem https://t.co/VSCnRVdkw1",FALSE,1596042859194482689,118,FALSE,359,0,FALSE,FALSE,sv,"RT @auroramalet: Vi är Aurora, nu stämmer vi staten. 

#Aurora #ClimateTrials #UprootTheSystem https://t.co/VSCnRVdkw1"
2022-11-24T20:12:22Z,1595872978247598e3,"We are 636 young people in @auroramalet who are suing the Swedish state for insufficient climate action.

”When the state carries out climate policy that threatens our human rights, it breaks the law.”

#aurora #ClimateTrials #UprootTheSystem
https://t.co/6qbZUO2hrE",FALSE,1595872978247598082,266,FALSE,1778,7550,FALSE,FALSE,en,"We are 636 young people in @auroramalet who are suing the Swedish state for insufficient climate action.

”When the state carries out climate policy that threatens our human rights, it breaks the law.”

#aurora #ClimateTrials #UprootTheSystem
https://t.co/6qbZUO2hrE"
2022-11-24T19:54:16Z,1595868421287207e3,"RT @auroramalet: ""Sveriges klimatpolitik är olaglig""

Nu stämmer över 600 ungdomar svenska staten för bristande klimatpolitik. 

https://t.…",FALSE,1595868421287206914,140,FALSE,119,0,FALSE,FALSE,sv,"RT @auroramalet: ""Sveriges klimatpolitik är olaglig""

Nu stämmer över 600 ungdomar svenska staten för bristande klimatpolitik. 

https://t.…"
2022-11-23T07:58:09Z,1595325817512501200,"RT @robintransition: The UN said a couple of weeks ago staying below 1.5 degrees is now impossible unless we see ""a radical transformation…",FALSE,1595325817512501250,139,FALSE,2487,0,FALSE,FALSE,en,"RT @robintransition: The UN said a couple of weeks ago staying below 1.5 degrees is now impossible unless we see ""a radical transformation…"
2022-11-22T18:41:52Z,1595125427970146300,"RT @lizwathuti: We must not loose sight of nature’s role in tackling the climate crisis.

Right now, we’re perpetuating an ecocidal economi…",FALSE,1595125427970146305,140,FALSE,394,0,FALSE,FALSE,en,"RT @lizwathuti: We must not loose sight of nature’s role in tackling the climate crisis.

Right now, we’re perpetuating an ecocidal economi…"
